iter	Passed	Remaining
0	135	134904
1	137	68374
2	138	46032
3	139	34827
4	142	28338
5	144	23874
6	145	20651
7	146	18217
8	148	16338
9	149	14838
10	151	13591
11	152	12551
12	153	11666
13	155	10920
14	156	10269
15	157	9700
16	159	9239
17	161	8802
18	162	8403
19	164	8039
20	165	7708
21	167	7424
22	168	7156
23	169	6908
24	171	6675
25	172	6463
26	174	6297
27	176	6123
28	178	5962
29	180	5839
30	181	5687
31	183	5552
32	186	5468
33	188	5345
34	189	5226
35	190	5111
36	192	5007
37	193	4909
38	195	4814
39	196	4726
40	198	4652
41	200	4568
42	201	4491
43	203	4414
44	204	4345
45	206	4278
46	207	4209
47	208	4140
48	210	4080
49	211	4024
50	213	3967
51	214	3909
52	215	3857
53	217	3805
54	218	3756
55	219	3706
56	221	3658
57	223	3634
58	225	3593
59	226	3552
60	228	3513
61	229	3475
62	231	3436
63	232	3399
64	233	3363
65	235	3330
66	236	3297
67	238	3262
68	239	3228
69	240	3194
70	242	3168
71	243	3141
72	245	3111
73	246	3081
74	247	3054
75	249	3029
76	250	3005
77	252	2980
78	253	2959
79	255	2935
80	256	2913
81	258	2889
82	258	2859
83	260	2843
84	261	2820
85	263	2799
86	264	2779
87	267	2776
88	269	2758
89	271	2742
90	273	2734
91	275	2718
92	277	2708
93	280	2700
94	281	2684
95	283	2666
96	284	2648
97	285	2631
98	287	2615
99	288	2598
100	290	2582
101	291	2568
102	293	2555
103	294	2539
104	296	2523
105	297	2509
106	299	2495
107	300	2482
108	301	2468
109	304	2464
110	306	2452
111	307	2438
112	308	2424
113	310	2413
114	312	2404
115	313	2391
116	314	2376
117	316	2364
118	317	2352
119	319	2340
120	320	2328
121	321	2315
122	323	2304
123	324	2292
124	325	2280
125	327	2272
126	328	2260
127	330	2250
128	331	2241
129	333	2230
130	334	2221
131	336	2211
132	337	2200
133	338	2189
134	340	2181
135	341	2171
136	343	2161
137	344	2151
138	345	2141
139	347	2132
140	348	2123
141	349	2111
142	350	2102
143	352	2093
144	353	2084
145	354	2075
146	356	2066
147	357	2056
148	358	2048
149	360	2041
150	361	2033
151	362	2024
152	364	2015
153	366	2014
154	368	2010
155	370	2003
156	371	1996
157	373	1989
158	374	1981
159	375	1973
160	376	1963
161	378	1957
162	379	1950
163	382	1948
164	385	1951
165	386	1944
166	388	1936
167	390	1934
168	391	1927
169	393	1920
170	394	1913
171	396	1907
172	397	1900
173	398	1893
174	400	1886
175	401	1879
176	402	1873
177	404	1866
178	405	1859
179	406	1852
180	408	1846
181	409	1840
182	410	1834
183	412	1828
184	413	1821
185	415	1817
186	416	1811
187	417	1804
188	418	1797
189	420	1791
190	421	1785
191	422	1778
192	424	1773
193	425	1767
194	427	1763
195	428	1758
196	430	1752
197	431	1747
198	432	1741
199	433	1735
200	435	1729
201	436	1724
202	437	1719
203	439	1713
204	440	1708
205	441	1703
206	443	1697
207	446	1699
208	447	1694
209	449	1689
210	450	1684
211	452	1681
212	454	1677
213	455	1673
214	456	1668
